date,word,success,guesses,one,two,three,four,five,six,fail
03/31/2024,TABOO,97,4.4,0,2,17,40,29,9,3
03/30/2024,FORCE,98,4.1,0,5,27,37,22,7,2
03/29/2024,REALM,99,3.8,0,7,31,39,18,4,1
03/28/2024,SPEAK,99,3.7,0,9,34,37,15,4,1
03/27/2024,STUNG,92,4.5,0,2,19,33,24,14,8
03/26/2024,MAYOR,93,4.7,0,2,14,31,29,17,7
03/25/2024,SALLY,88,4.8,0,1,11,31,29,16,12
03/24/2024,TOWEL,99,4.2,0,3,22,41,26,7,1
03/23/2024,RISEN,99,3.8,0,7,32,41,16,3,1
03/22/2024,DECAY,97,4.4,0,2,17,39,28,11,3
03/21/2024,SHADE,93,4.4,0,5,22,28,22,16,7
03/20/2024,LINGO,97,4.5,0,2,14,37,31,13,3
03/19/2024,ABIDE,98,3.9,0,10,26,35,21,6,2
03/18/2024,SPELT,99,4.1,0,4,23,40,25,7,1
03/17/2024,SNORT,99,4.1,0,5,25,38,24,7,1
03/16/2024,TOXIN,98,4.3,0,2,18,43,26,9,2
